iter	Passed	Remaining
609	4079	2608
610	4088	2603
611	4094	2596
612	4100	2588
613	4117	2588
614	4123	2581
615	4129	2574
616	4136	2567
617	4142	2560
618	4148	2553
619	4154	2546
620	4160	2539
621	4167	2532
622	4173	2525
623	4179	2518
624	4184	2510
625	4190	2503
626	4197	2496
627	4203	2489
628	4210	2483
629	4217	2476
630	4222	2469
631	4229	2462
632	4235	2455
633	4241	2448
634	4248	2441
635	4253	2434
636	4259	2427
637	4265	2419
638	4270	2412
639	4276	2405
640	4281	2398
641	4287	2390
642	4294	2384
643	4300	2377
644	4305	2369
645	4311	2362
646	4317	2355
647	4322	2348
648	4340	2347
649	4345	2340
650	4351	2333
651	4357	2325
652	4363	2318
653	4369	2311
654	4374	2304
655	4380	2297
656	4386	2290
657	4392	2282
658	4398	2275
659	4403	2268
660	4409	2261
661	4415	2254
662	4421	2247
663	4429	2241
664	4435	2234
665	4441	2227
666	4446	2220
667	4452	2212
668	4457	2205
669	4463	2198
670	4469	2191
671	4474	2184
672	4480	2177
673	4486	2170
674	4492	2163
675	4498	2155
676	4518	2155
677	4524	2148
678	4533	2143
679	4539	2136
680	4545	2129
681	4550	2121
682	4556	2114
683	4563	2108
684	4569	2101
685	4575	2094
686	4593	2092
687	4598	2085
688	4605	2078
689	4613	2072
690	4619	2065
691	4625	2058
692	4631	2051
693	4636	2044
694	4642	2037
695	4648	2030
696	4654	2023
697	4659	2015
698	4666	2009
699	4672	2002
700	4681	1996
701	4687	1989
702	4693	1982
703	4698	1975
704	4704	1968
705	4710	1961
706	4716	1954
707	4722	1947
708	4727	1940
709	4733	1933
710	4739	1926
711	4745	1919
712	4750	1912
713	4756	1905
714	4762	1898
715	4768	1891
716	4774	1884
717	4780	1877
718	4786	1870
719	4791	1863
720	4797	1856
721	4803	1849
722	4809	1842
723	4814	1835
724	4820	1828
725	4825	1821
726	4831	1814
727	4845	1810
728	4851	1803
729	4859	1797
730	4864	1790
731	4870	1783
732	4876	1776
733	4889	1771
734	4895	1765
735	4901	1758
736	4907	1751
737	4919	1746
738	4924	1739
739	4930	1732
740	4936	1725
741	4941	1718
742	4947	1711
743	4964	1708
744	4969	1701
745	4975	1694
746	4981	1687
747	4986	1680
748	4992	1673
749	4998	1666
750	5004	1659
751	5009	1652
752	5015	1645
753	5021	1638
754	5027	1631
755	5033	1624
756	5039	1617
757	5044	1610
758	5050	1603
759	5056	1596
760	5062	1589
761	5068	1583
762	5075	1576
763	5082	1569
764	5088	1562
765	5094	1556
766	5099	1549
767	5105	1542
768	5110	1535
769	5116	1528
770	5122	1521
771	5127	1514
772	5133	1507
773	5138	1500
774	5156	1497
775	5172	1493
776	5177	1486
777	5183	1479
778	5189	1472
779	5196	1465
780	5203	1459
781	5209	1452
782	5215	1445
783	5221	1438
784	5227	1431
785	5234	1425
786	5239	1418
787	5246	1411
788	5253	1404
789	5258	1397
790	5264	1391
791	5270	1384
792	5277	1377
793	5283	1370
794	5289	1363
795	5305	1359
796	5311	1352
797	5318	1346
798	5324	1339
799	5329	1332
800	5335	1325
801	5341	1318
802	5348	1312
803	5353	1305
804	5359	1298
805	5364	1291
806	5370	1284
807	5376	1277
808	5381	1270
809	5387	1263
810	5393	1256
811	5398	1249
812	5404	1243
813	5424	1239
814	5430	1232
815	5436	1225
816	5442	1219
817	5447	1212
818	5453	1205
819	5469	1200
820	5475	1193
821	5481	1186
822	5487	1180
823	5493	1173
824	5499	1166
825	5506	1159
826	5512	1153
827	5517	1146
828	5528	1140
829	5534	1133
830	5541	1126
831	5547	1120
832	5552	1113
833	5559	1106
834	5565	1099
835	5570	1092
836	5576	1086
837	5582	1079
838	5604	1075
839	5610	1068
840	5615	1061
841	5621	1054
842	5627	1048
843	5648	1044
844	5654	1037
845	5660	1030
846	5665	1023
847	5671	1016
848	5678	1009
849	5683	1003
850	5689	996
851	5709	991
852	5714	984
853	5721	978
854	5727	971
855	5732	964
856	5739	957
857	5745	950
858	5751	944
859	5757	937
860	5763	930
861	5769	923
862	5775	916
863	5782	910
864	5787	903
865	5793	896
866	5799	889
867	5805	882
868	5812	876
869	5817	869
870	5823	862
871	5849	858
872	5855	851
873	5861	845
874	5867	838
875	5873	831
876	5879	824
877	5884	817
878	5890	810
879	5896	804
880	5902	797
881	5908	790
882	5914	783
883	5920	776
884	5926	770
885	5947	765
886	5953	758
887	5959	751
888	5965	744
889	5970	737
890	5976	731
891	5981	724
892	5987	717
893	5992	710
894	5997	703
895	6004	696
896	6010	690
897	6016	683
898	6021	676
899	6027	669
900	6037	663
901	6042	656
902	6048	649
903	6054	642
904	6060	636
905	6065	629
906	6071	622
907	6077	615
908	6083	608
909	6088	602
910	6094	595
911	6099	588
912	6105	581
